Deputado(a)	Participações
Paulo Freire Costa	57
Paulo Guedes	56
Paulo Litro	44
Paulo Magalhães	61
Paulão	57
Pedro Aihara	54
Pedro Campos	60
Pedro Lucas Fernandes	52
Pedro Lupion	63
Pedro Paulo	45
Pedro Uczai	60
Pedro Westphalen	56
Pezenti	48
Pinheirinho	42
Pompeo de Mattos	53
Pr. Marco Feliciano	82
Prof. Paulo Fernando	51
Prof. Reginaldo Veras	57
Professor Alcides	52
Professora Goreth	53
Professora Luciene Cavalcante	65
Rafael Brito	54
Rafael Prudente	54
Rafael Simoes	62
Raimundo Costa	45
Raimundo Santos	59
Reginaldo Lopes	43
Reginete Bispo	56
Reimont	60
Reinhold Stephanes	46
Reinhold Stephanes Junior	1
Renan Ferreirinha	5
Renata Abreu	49
Renilce Nicodemos	48
Renildo Calheiros	59
Ricardo Abrão	46
Ricardo Ayres	61
Ricardo Guidi	55
Ricardo Maia	49
Ricardo Salles	50
Ricardo Silva	34
Roberta Roma	51
Roberto Duarte	83
Roberto Monteiro	62
Robinson Faria	79
Rodolfo Nogueira	56
Rodrigo Estacho	57
Rodrigo Gambale	55
Rodrigo Valadares	41
Rodrigo de Castro	54
Rogéria Santos	56
Rogério Correia	59
Romero Rodrigues	60
Rosana Valle	51
Roseana Sarney	29
Rosângela Moro	84
Rosângela Reis	76
Rubens Otoni	61
Rubens Pereira Júnior	76
Rui Falcão	82
Ruy Carneiro	53
Samuel Viana	54
Sanderson	59
Sandro Alex	5
Sargento Fahur	64
Sargento Gonçalves	59
Sargento Portugal	58
Saullo Vianna	49
Sergio Souza	60
Sidney Leite	39
Silas Câmara	37
Silvia Cristina	49
Silvia Waiãpi	57
Silvio Costa Filho	54
Silvye Alves	62
Simone Marquetto	55
Socorro Neri	56
Sonize Barbosa	41
Soraya Santos	48
Stefano Aguiar	49
Sâmia Bomfim	79
Sóstenes Cavalcante	35
Tabata Amaral	58
Tadeu Veneri	56
Talíria Petrone	38
Tarcísio Motta	88
Thiago Flores	63
Thiago de Joaldo	63
Tiririca	42
Tião Medeiros	59
Toninho Wandscheer	34
Túlio Gadêlha	52
Valmir Assunção	56
Vander Loubet	57
Vermelho	44
Vicentinho	55
Vicentinho Júnior	43
Vinicius Carvalho	48
Vinicius Gurgel	42
Vitor Lippi	58
Waldemar Oliveira	75
Waldenor Pereira	30
Washington Quaquá	34
Weliton Prado	55
Wellington Roberto	48
Welter	55
Wilson Santiago	49
Yandra Moura	59
Yury do Paredão	71
Zeca Dirceu	45
Zezinho Barbary	49
Zucco	67
Zé Haroldo Cathedral	82
Zé Neto	57
Zé Silva	56
Zé Trovão	61
Zé Vitor	31
Átila Lins	41
Átila Lira	81
